name,opponent,Points,Fantasy Score,Pts+Rebs+Asts,Pts+Rebs,Pts+Asts,Rebs+Asts,Turnovers,Steals,Assists,Rebounds,3-PT Made,Blocked Shots
Kam Jones,UNM,22,39.5,34,27,29,11.5,,,6,5,,
Ben Gold,UNM,7,,12,11.5,,5,,0.5,,,,
Chase Ross,UNM,11.5,,18,15.5,13.5,6.5,,,,,,
David Joplin,UNM,14,26.5,21.5,20.5,15.5,7.5,,,,6,,
Donovan Dent,MARQ,21.5,35.5,31.5,24.5,28,9,,,6.5,2.5,,
Nelly Junior Joseph,MARQ,13.5,36,27.5,26,15.5,13.5,,,,12,,
Stevie Mitchell,UNM,11.5,,18,16,13.5,6,,,,,,
Mustapha Amzil,MARQ,8.5,,,15,,,,,,6,,
Tru Washington,MARQ,11.5,,,15.5,,,,,,,,
Nate Johnson,ARIZ,14.5,27.5,23,19.5,17.5,8,,,,5,,
Tavari Johnson,ARIZ,14.5,24.5,19.5,16.5,18,,,,3.5,,1.5,
Caleb Love,AKR,19.5,31.5,29,25,23.5,8.5,,,3.5,,,
Jaden Bradley,AKR,13.5,,21,17.5,17.5,7.5,,,3.5,3.5,,
KJ Lewis,AKR,15,29.5,23.5,20.5,18.5,8,,,,,,0.5
Tobe Awaka,AKR,9,,,,,,,,,7.5,,
Alex Karaban,OKLA,14.5,31.5,23,20.5,16.5,8.5,,0.5,,6,,
Hassan Diarra,OKLA,7,,16.5,11,12,9.5,,,,,0.5,
Liam McNeeley,OKLA,16.5,,23.5,21.5,18.5,7.5,,,,5,1.5,
Samson Johnson,OKLA,7.5,,,,8.5,,,,,,,
Solomon Ball,OKLA,15,,21.5,20,17,6.5,,,,4.5,,
Brycen Goodine,CONN,8,,10.5,,,,,,,,,
Jalon Moore,CONN,13,19.5,18.5,,,,,0.5,,5,,
Jeremiah Fears,CONN,19.5,32,27,23,23,8,,,,4,,
Kobe Elvis,CONN,8,,11.5,9.5,9.5,,,0.5,,,,
Barry Evans,MSU,11,,18.5,16,13.5,7.5,,,,5,,0.5
Earl Timberlake,MSU,13,30.5,23.5,19.5,18,10,,,,,,1.5
Connor Withers,MSU,9,,18.5,14.5,12,8.5,,,,5,,
Rafael Pinzon,MSU,15.5,22.5,20.5,18.5,17.5,,,,1.5,,2.5,
Jase Richardson,BRY,16.5,27,23.5,21,19,6.5,,,,,1.5,
Jaxon Kohler,BRY,8,20.5,16.5,15,9.5,8,,,,,0.5,
Jaden Akins,BRY,13,,18,16.5,14.5,4.5,,,,,1.5,
Jeremy Fears Jr.,BRY,8.5,,16,11,13.5,7.5,,,,,,
Tre Holloman,BRY,10.5,,16,12.5,14,5.5,,,3.5,,,
Colin Porter,ORE,9.5,,15.5,12,13,5.5,,,,,,
Jayvon Maughmer,ORE,8,,,12.5,,,,,,4.5,,
Kaden Metheny,ORE,12.5,,17.5,16.5,14.5,4.5,,,,,2.5,
Taelon Peter,ORE,13.5,,19.5,18.5,14.5,6,,,,,,
Zach Cleveland,ORE,11,25,20,16,15,9.5,2.5,0.5,,,,
Brandon Angel,LIB,6.5,,,10.5,,,,,,,,
Jackson Shelstad,LIB,15,21.5,19,17,17,,,,,2.5,1.5,
Keeshawn Barthelemy,LIB,,,15.5,13,13,,,,,2.5,1.5,
Kwame Evans Jr.,LIB,,,,12.5,,,,,,,,
Nate Bittle,LIB,15.5,35.5,24.5,22.5,17,9,,,,,,
TJ Bamba,LIB,10.5,,17.5,15,13.5,7,,,,,,
